tag,event_type,event_site,event_date,event_release_site,event_release_date,mark_date,cth_count
3DD.003D28498C,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28498D,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28498E,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28498F,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284990,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284991,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284992,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284993,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284994,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284995,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284996,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284997,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284998,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284999,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28499A,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28499B,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28499C,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28499D,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28499E,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28499F,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D2849A0,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A1,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A2,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D2849A3,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A4,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A5,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A6,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A7,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A8,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849A9,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849AA,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D2849AB,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D2849AC,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
